Company,Country,Month,Data Compromised,Sector,Method,Attack Vector,Data Sensitivity,Link
1177 Care Guide,Sweden,February,"2,700,000.00",Healthcare,Third-party,Poor Security,PHI,https://computersweden.idg.se/2.2683/1.714787/inspelade-samtal-1177-vardguiden-oskyddade-internet
1to1help,India,May,"300,000.00",Healthcare,Misconfiguration,Exposed Database,PHI,https://www.databreaches.net/a-misconfigured-aws-bucket-exposed-personal-and-counseling-logs-of-almost-300000-indian-employees/
3fun,Hong Kong,August,"1,500,000.00",App,Misconfiguration,Application Security,Personal,https://www.pentestpartners.com/security-blog/group-sex-app-leaks-locations-pictures-and-other-personal-details-identifies-users-in-white-house-and-supreme-court/
Adobe Inc.,United States of America,October,"7,500,000.00",Tech,Misconfiguration,Exposed Database,Personal,https://www.comparitech.com/blog/information-security/7-million-adobe-creative-cloud-accounts-exposed-to-the-public/
AgusiQ-Torrents.pl,Poland,September,"90,478.00",Web,Hacked,,Online,https://haveibeenpwned.com/PwnedWebsites
Air New Zealand,New Zealand,August,"100,000.00",Airline,Hacked,Phishing,Personal,https://ia.acs.org.au/article/2019/air-new-zealand-staffer-falls-for-phishing-attack.html
Amadeus IT Group,Israel,May,"15,000,000.00",Hospitality,Hacked,SQL Injection,Personal,https://www.haaretz.com/israel-news/.premium-hacker-reveals-breach-exposing-flight-histories-of-netanyahu-family-other-israelis-1.7274845
AMC Networks,United States of America,May,"1,615,360.00",Other,Misconfiguration,Exposed Database,Personal,https://securitydiscovery.com/amc-inadvertently-exposed-its-subscribers-database-for-sundance-now-and-shudder-services/
American Medical Collection Agency,United States of America,February,"20,000,000.00",Healthcare,Hacked,,Financial,https://geminiadvisory.io/amca-largest-medical-breach/
Armor Games,United States of America,January,"10,604,307.00",Gaming,Hacked,,Personal,https://techraptor.net/content/armor-games-data-breach-january-2019
ArtValue,France,June,"157,692.00",Web,Misconfiguration,Exposed Text File,Online,https://haveibeenpwned.com/PwnedWebsites
Australian National University,Australia,June,"200,000.00",Education,Hacked,Zero Day Attack,Personal,https://www.anu.edu.au/news/all-news/anu-releases-detailed-account-of-data-breach
Authentic Jobs,United States of America,October,"221,130.00",Web,Misconfiguration,Exposed Database,Personal,https://www.cisomag.com/recruitment-sites-exposes-250000-resumes-online/
Best Western Hotels & Resorts Group,United States of America,September,1.00,Hospitality,Misconfiguration,Exposed Database,Personal,https://www.vpnmentor.com/blog/us-travel-military-leak/
BlackSpigotMC,United States of America,July,"140,029.00",Web,Hacked,,Personal,https://haveibeenpwned.com/PwnedWebsites
Bodybuilding.com,United States of America,April,"7,000,000.00",Web,Hacked,Phishing,Personal,https://www.appknox.com/blog/top-cybersecurity-data-breaches-2019
BreedReady,China,March,"1,800,000.00",Web,Misconfiguration,Exposed Database,Personal,https://www.theguardian.com/world/2019/mar/11/china-database-lists-breedready-status-of-18-million-women
BriansClub,United States of America,October,"26,000,000.00",Web,Hacked,,Financial,https://krebsonsecurity.com/2019/10/briansclub-hack-rescues-26m-stolen-cards/
British American Tobacco (BAT) - YOUniverse,Romania,December,1.00,Retail,Misconfiguration,Exposed Database,Personal,https://www.vpnmentor.com/blog/report-bat-romania-leak/
Bulgarian National Revenue Agency,Bulgaria,July,"5,000,000.00",Government,Hacked,,Personal,https://nap.bg/news?id=3990
Cadlin,Brazil,October,"1,185,000.00",Healthcare,Misconfiguration,Exposed Database,PHI,https://www.wizcase.com/blog/medical-breaches-research/
CafePress,United States of America,February,"23,205,290.00",Retail,Hacked,,Personal,https://www.forbes.com/sites/daveywinder/2019/08/20/data-breaches-expose-41-billion-records-in-first-six-months-of-2019/#7def6eebbd54
Calcioshop.it,Italy,September,"408,995.00",Retail,Misconfiguration,Exposed Database,Personal,https://securitydiscovery.com/large-italian-online-shop-exposed-customers-details/
Camgirl Sites,Spain,November,1.00,Web,Misconfiguration,Exposed Database,Personal,https://techcrunch.com/2019/11/03/camgirl-network-exposed-millions-users/
Canva,Australia,May,"137,272,116.00",Web,Hacked,,Personal,https://support.canva.com/contact/customer-support/may-24-security-incident-faqs/
Capital One,United States of America,July,"106,000,000.00",Financial,Hacked,,Financial,https://www.businessinsider.com/capital-one-data-hacked-by-seattle-woman-affecting-millions-2019-7
Cashkaro,India,August,"2,500,000.00",Financial,Misconfiguration,Exposed Database,Personal,https://www.safetydetectives.com/blog/pouringpounds-leak-report/
Cayman National Bank,Isles of Man,November,1.00,Financial,Hacked,,Financial,https://www.caymannational.im/news/banking/data-theft-at-cayman-national-in-the-isle-of-man
